"first_name","last_name","email","remaining_goal_amount"
"Calogero","Cross","calogero.cross@mercantini.it",153288.0
"Lauretta","Neal","lauretta.neal@hotmail.de",151747.0
"Chantal","Armas","chantal.armas@jenkins.net",98164.0
"Ariadna","Geisel","ariadna.geisel@rangel.com",88154.0
"Mathilde","Kruschwitz","mathilde.kruschwitz@yahoo.com",72323.0
"Guillermina","Nicholson","guillermina.nicholson@grondin.fr",71872.0
"Henry","Gucci","henry.gucci@leleu.fr",41198.0
"Gabriela","Padilla","gabriela.padilla@pearson-russell.com",40291.0
"Svenja","Perrin","svenja.perrin@berger.com",8362.0
"Caroline","Reeves","caroline.reeves@yahoo.com",3768.0
"Katarina","Clarke","katarina.clarke@hotmail.com.au",3739.0
"Imelda","Guerin","imelda.guerin@stumpf.net",1559.0
"Danny","Farrell","danny.farrell@hotmail.com",1503.0
"Tobias","Carbajal","tobias.carbajal@live.com",426.0
